product_code,transaction_date,transaction_type,quantity,unit_cost,total_cost,balance_after,total_cost_after,unit_price,reference_number,notes
KOPI-ARABICA,2024-01-05,PURCHASE,10,180000,1800000,10,1800000,,PO-001,Pembelian biji kopi arabica
SUSU-SEGAR,2024-01-05,PURCHASE,50,18000,900000,50,900000,,PO-001,Pembelian susu segar
GULA-AREN,2024-01-05,PURCHASE,20,45000,900000,20,900000,,PO-001,Pembelian gula aren
ES-BATU,2024-01-05,PURCHASE,50,5000,250000,50,250000,,PO-001,Pembelian es batu
TEPUNG-TERIGU,2024-01-06,PURCHASE,30,12000,360000,30,360000,,PO-002,Pembelian tepung terigu
BUTTER,2024-01-06,PURCHASE,20,35000,700000,20,700000,,PO-002,Pembelian butter
TELUR,2024-01-06,PURCHASE,120,2500,300000,120,300000,,PO-002,Pembelian telur
RAGI,2024-01-06,PURCHASE,60,3000,180000,60,180000,,PO-002,Pembelian ragi instan
GARAM,2024-01-06,PURCHASE,30,8000,240000,30,240000,,PO-002,Pembelian garam
COKLAT,2024-01-06,PURCHASE,10,85000,850000,10,850000,,PO-002,Pembelian coklat blok
TEPUNG-TERIGU,2024-01-08,PRODUCTION_OUT,3,12000,36000,27,324000,,PROD-001,Produksi croissant batch 1
BUTTER,2024-01-08,PRODUCTION_OUT,1.5,35000,52500,18.5,647500,,PROD-001,Produksi croissant batch 1
TELUR,2024-01-08,PRODUCTION_OUT,12,2500,30000,108,270000,,PROD-001,Produksi croissant batch 1
RAGI,2024-01-08,PRODUCTION_OUT,10,3000,30000,50,150000,,PROD-001,Produksi croissant batch 1
GARAM,2024-01-08,PRODUCTION_OUT,6,8000,48000,24,192000,,PROD-001,Produksi croissant batch 1
SUSU-SEGAR,2024-01-08,PRODUCTION_OUT,0.6,18000,10800,49.4,889200,,PROD-001,Produksi croissant batch 1
CROISSANT,2024-01-08,PRODUCTION_IN,24,4455,106920,24,106920,,PROD-001,Hasil produksi croissant
TEPUNG-TERIGU,2024-01-08,PRODUCTION_OUT,2.5,12000,30000,24.5,294000,,PROD-002,Produksi roti bakar coklat batch 1
BUTTER,2024-01-08,PRODUCTION_OUT,1,35000,35000,17.5,612500,,PROD-002,Produksi roti bakar coklat batch 1
TELUR,2024-01-08,PRODUCTION_OUT,10,2500,25000,98,245000,,PROD-002,Produksi roti bakar coklat batch 1
RAGI,2024-01-08,PRODUCTION_OUT,8,3000,24000,42,126000,,PROD-002,Produksi roti bakar coklat batch 1
GARAM,2024-01-08,PRODUCTION_OUT,5,8000,40000,19,152000,,PROD-002,Produksi roti bakar coklat batch 1
COKLAT,2024-01-08,PRODUCTION_OUT,0.4,85000,34000,9.6,816000,,PROD-002,Produksi roti bakar coklat batch 1
ROTI-COKLAT,2024-01-08,PRODUCTION_IN,20,4388,87760,20,87760,,PROD-002,Hasil produksi roti bakar coklat
CROISSANT,2024-01-10,SALE,15,4455,66825,9,40095,25000,INV-001,Penjualan croissant
ROTI-COKLAT,2024-01-10,SALE,12,4388,52656,8,35104,20000,INV-002,Penjualan roti bakar coklat
SUSU-SEGAR,2024-01-15,PURCHASE,10,18000,180000,59.4,1069200,,PO-003,Restock susu
KOPI-ARABICA,2024-01-15,PURCHASE,5,180000,900000,15,2700000,,PO-003,Restock kopi
TEPUNG-TERIGU,2024-01-15,PURCHASE,10,12000,120000,34.5,414000,,PO-003,Restock tepung
